from,to,cost,CONZONE_ID,ST_ND_NM,END_ND_NM,,,,
99,349,6430,2510CZS030,서대전JC,계룡IC,,,,
101,99,8430,2510CZS040,유성IC,서대전JC,,,,
102,103,3590,2510CZS070,회덕JC,북대전IC,,,,
369,610,3830,3010CZE010,낙동JC,상주JC,,,,
610,1003,8280,3010CZE020,상주JC,도개IC,,,,
1003,1004,16160,3010CZE030,도개IC,서군위IC,,,,
1004,1005,13220,3010CZE040,서군위IC,군위JCT,,,,
1005,1006,10830,3010CZE050,군위JCT,동군위IC,,,,
1006,1007,15440,3010CZE060,동군위IC,신녕IC,,,,
1007,1008,7410,3010CZE070,신녕IC,화산JCT,,,,
1008,1009,7970,3010CZE080,화산JCT,동영천IC,,,,
1009,1011,10370,3010CZE090,동영천IC,북안IC,,,,
1011,1012,490,3010CZE100,북안IC,영천JC,,,,
610,369,3830,3010CZS010,상주JC,낙동JC,,,,
1003,610,8280,3010CZS020,도개IC,상주JC,,,,
1004,1003,16160,3010CZS030,서군위IC,도개IC,,,,
1005,1004,13220,3010CZS040,군위JCT,서군위IC,,,,
1006,1005,10830,3010CZS050,동군위IC,군위JCT,,,,
1007,1006,15440,3010CZS060,신녕IC,동군위IC,,,,
1008,1007,7410,3010CZS070,화산JCT,신녕IC,,,,
1009,1008,7970,3010CZS080,동영천IC,화산JCT,,,,
1011,1009,10370,3010CZS090,북안IC,동영천IC,,,,
1012,1011,490,3010CZS100,영천JC,북안IC,,,,
500,13,1140,4510CZE080,서대구TG,금호JC,,,,
13,500,1140,4510CZS080,금호JC,서대구TG,,,,
577,147,9190,5510CZE005,김해JC,대동JC,,,,
147,152,4160,5510CZE010,대동JC,물금IC,,,,
152,154,2300,5510CZE020,물금IC,남양산IC,,,,
154,155,1770,5510CZE030,남양산IC,양산JC,,,,
147,577,9190,5510CZS005,대동JC,김해JC,,,,
152,147,4160,5510CZS010,물금IC,대동JC,,,,
154,152,2300,5510CZS020,남양산IC,물금IC,,,,
155,154,1770,5510CZS030,양산JC,남양산IC,,,,
663,664,5190,6000CZE010,진영JC,진영IC,,,,
664,665,3850,6000CZE020,진영IC,한림IC,,,,
665,666,8200,6000CZE030,한림IC,광재IC,,,,
666,667,8950,6000CZE040,광재IC,대감JC,,,,
664,663,5190,6000CZS010,진영IC,진영JC,,,,
665,664,3850,6000CZS020,한림IC,진영IC,,,,
666,665,8200,6000CZS030,광재IC,한림IC,,,,
667,666,8950,6000CZS040,대감JC,광재IC,,,,
9990,476,7200,9990CZS010,서울특별시청,한남IC,,,,
9991,294,10500,9991CZS010,인천광역시청,서인천IC,,,,
9993,216,6100,9993CZS010,광주광역시청,서광주IC,,,,
9994,500,7500,9994CZS010,대구광역시청,서대구TG,,,,
9996,442,9500,9996CZS010,울산광역시청,문수IC,,,,
9990,234,16000,9990CZS040,서울특별시청,신월IC,,,,
9991,288,3800,9991CZS020,인천광역시청,남동IC,,,,
9991,287,6400,9991CZS030,인천광역시청,서창JC,,,,
9992,101,6800,9992CZS020,대전광역시청,유성IC,,,,
9992,103,8900,9992CZS030,대전광역시청,북대전IC,,,,
9995,6,10000,9995CZS020,부산광역시청,덕천IC,,,,
9995,592,15800,9995CZS040,부산광역시청,동부산IC,,,,
9996,405,7300,9996CZS020,울산광역시청,울산JCT,,,,
9994,343,8410,9994CZS020,대구광역시청,동대구IC,,,,
476,9990,7200,9990CZE010,한남IC,서울특별시청,,,,
294,9991,10500,9991CZE010,서인천IC,인천광역시청,,,,
216,9993,6100,9993CZE010,서광주IC,광주광역시청,,,,
500,9994,7500,9994CZE010,서대구TG,대구광역시청,,,,
442,9996,9500,9996CZE010,문수IC,울산광역시청,,,,
234,9990,16000,9990CZE040,신월IC,서울특별시청,,,,
288,9991,3800,9991CZE020,남동IC,인천광역시청,,,,
287,9991,6400,9991CZE030,서창JC,인천광역시청,,,,
101,9992,6800,9992CZE020,유성IC,대전광역시청,,,,
103,9992,8900,9992CZE030,북대전IC,대전광역시청,,,,
6,9995,10000,9995CZE020,덕천IC,부산광역시청,,,,
592,9995,15800,9995CZE040,동부산IC,부산광역시청,,,,
405,9996,7300,9996CZE020,울산JCT,울산광역시청,,,,
343,9994,8410,9994CZE020,동대구IC,대구광역시청,,,,
