from,to,cost,CONZONE_ID,ST_ND_NM,END_ND_NM,,,,
237,238,2490,0010CZS510,서초IC,양재IC,,,,
233,237,1780,0010CZS520,반포IC,서초IC,,,,
487,233,1380,0010CZS521,잠원IC,반포IC,,,,
476,487,1300,0010CZS522,한남IC,잠원IC,,,,
222,221,3800,0100CZE010,서순천IC,순천IC,,,,
221,535,1800,0100CZE020,순천IC,순천JC,,,,
535,212,7000,0100CZE025,순천JC,광양IC,,,,
212,215,5100,0100CZE030,광양IC,동광양IC,,,,
215,214,6500,0100CZE040,동광양IC,옥곡IC,,,,
214,213,4400,0100CZE050,옥곡IC,진월IC,,,,
213,227,7000,0100CZE060,진월IC,하동IC,,,,
227,130,10100,0100CZE070,하동IC,진교IC,,,,
130,131,6400,0100CZE080,진교IC,곤양IC,,,,
131,126,8000,0100CZE090,곤양IC,축동IC,,,,
126,132,5900,0100CZE100,축동IC,사천IC,,,,
132,133,2500,0100CZE110,사천IC,진주JC,,,,
133,134,3200,0100CZE120,진주JC,진주IC,,,,
134,128,4000,0100CZE130,진주IC,문산IC,,,,
128,136,6900,0100CZE140,문산IC,진성IC,,,,
136,127,6000,0100CZE150,진성IC,지수IC,,,,
127,168,9200,0100CZE160,지수IC,군북IC,,,,
168,129,2800,0100CZE170,군북IC,장지IC,,,,
129,149,3600,0100CZE180,장지IC,함안IC,,,,
149,124,8700,0100CZE190,함안IC,산인JC,,,,
124,148,3100,0100CZE200,산인JC,칠원JC,,,,
148,650,4900,0100CZE205,칠원JC, 창원1터널(서측),,,,
650,651,2700,0100CZE210,창원1터널(서측), 창원1터널(동측),,,,
651,150,1200,0100CZE215,창원1터널(동측), 북창원IC,,,,
150,145,3600,0100CZE220,북창원IC,창원JC,,,,
145,146,5000,0100CZE230,창원JC,동창원IC,,,,
146,663,2300,0100CZE240,동창원IC,진영JC,,,,
663,143,4000,0100CZE245,진영JC,진례IC,,,,
143,624,3200,0100CZE250,진례IC,진례JC,,,,
624,139,3800,0100CZE255,진례JC,냉정JC,,,,
139,138,4800,0100CZE260,냉정JC,서김해IC,,,,
138,140,4500,0100CZE270,서김해IC,동김해IC,,,,
140,577,2700,0100CZE280,동김해IC,김해JC,,,,
577,497,1600,0100CZE282,김해JC,북부산TG,,,,
497,3,3200,0100CZE285,북부산TG,대저JC,,,,
3,6,2860,0100CZE290,대저JC,덕천IC,,,,
221,222,3800,0100CZS010,순천IC,서순천IC,,,,
535,221,1800,0100CZS020,순천JC,순천IC,,,,
212,535,7000,0100CZS025,광양IC,순천JC,,,,
215,212,5100,0100CZS030,동광양IC,광양IC,,,,
214,215,6500,0100CZS040,옥곡IC,동광양IC,,,,
213,214,4400,0100CZS050,진월IC,옥곡IC,,,,
227,213,7000,0100CZS060,하동IC,진월IC,,,,
130,227,10100,0100CZS070,진교IC,하동IC,,,,
131,130,6400,0100CZS080,곤양IC,진교IC,,,,
126,131,8000,0100CZS090,축동IC,곤양IC,,,,
132,126,5900,0100CZS100,사천IC,축동IC,,,,
133,132,2500,0100CZS110,진주JC,사천IC,,,,
134,133,3200,0100CZS120,진주IC,진주JC,,,,
128,134,4000,0100CZS130,문산IC,진주IC,,,,
136,128,6900,0100CZS140,진성IC,문산IC,,,,
127,136,6000,0100CZS150,지수IC,진성IC,,,,
168,127,9200,0100CZS160,군북IC,지수IC,,,,
129,168,2800,0100CZS170,장지IC,군북IC,,,,
149,129,3600,0100CZS180,함안IC,장지IC,,,,
124,149,8700,0100CZS190,산인JC,함안IC,,,,나
148,124,3100,0100CZS200,칠원JC,산인JC,,,,
650,148,4900,0100CZS205,창원1터널(서측), 칠원JC,,,,
651,650,2700,0100CZS210,창원1터널(동측), 창원1터널(서측),,,,
150,651,1200,0100CZS215,북창원IC , 창원1터널(동측),,,,
145,150,3600,0100CZS220,창원JC,북창원IC,,,,
146,145,5000,0100CZS230,동창원IC,창원JC,,,,
663,146,2300,0100CZS240,진영JC,동창원IC,,,,
143,663,4000,0100CZS245,진례IC,진영JC,,,,
624,143,3200,0100CZS250,진례JC,진례IC,,,,
139,624,3800,0100CZS255,냉정JC,진례JC,,,,
138,139,4800,0100CZS260,서김해IC,냉정JC,,,,
140,138,4500,0100CZS270,동김해IC,서김해IC,,,,
577,140,2700,0100CZS280,김해JC,동김해IC,,,,
497,577,1600,0100CZS282,북부산TG,김해JC,,,,
3,497,3200,0100CZS285,대저JC,북부산TG,,,,
6,3,2860,0100CZS290,덕천IC,대저JC,,,,
197,348,3000,0120CZE090,고서JC,담양JC,,,,
348,200,3740,0120CZE100,담양JC,담양IC,,,,
200,176,18200,0120CZE110,담양IC,순창IC,,,,
